code,label
110000100018,Luftwaffenkapitän
110000200018,Luftwaffenmarschall
110000300018,Luftwaffenpilot/in
110000400018,Armeekapitän
110000500018,Armee Oberst
110000600018,Armee major
110000700018,Armeeoffizier
110000800018,Marinekapitän
110000900018,Marineleutnant
110010000000,Offizier/in
110020000000,Militärischer Befehlshaber/in
210000100018,Feldwebel
210000200018,Flugfeldwebel
210010000000,Feldwebel – Truppendienst
310000100018,Luftwaffenflieger
310000200018,Luftwaffenkorporal
310000300018,Armeekommando
310000400018,Armeekorporal
310000500018,Armee-Schütze
310000600018,Infanterist der Armee
310000700018,Armee Mortarman
310000800018,Marine Matrose
310000900018,Navy U-Boot
310001000018,Fallschirmjäger/in
310001100018,Soldat
310001200018,Panzerbesatzungsmitglied
310020000000,Luftwaffensoldat/in
310030000000,Militärwaffenspezialist/in
310040000000,Offizier/in der Marine
310050000000,Soldat/in auf Zeit - Laufbahngruppe Mannschaft
310060000000,Soldat/in in einer Spezialeinheit
1111000300018,Politiker/in
1111000500018,Außenminister/in
1111010000000,Bundestagsabgeordnete/r
1111020000000,Bürgermeister/in
1111130000000,Hohe/r Staatsbeamter/Staatsbeamtin
1111140000018,Gouverneur
1111150000018,Senator/in
1112000100018,Botschafter/in
1112000200018,Stadtverwalter/in
1112000300018,Diplomatischer Vertreter/in
1112000400018,Botschaftsvertreter/in
1112000500018,Botschaftssekretärin
1112000600018,Feuerwehrkommissar
1112000700018,Regierungsadministrator
1112000800018,Leiter/in der Regierungsabteilung
1112001000018,Administrator der zwischenstaatlichen Organisation
1112001600018,Polizeibeamter/in
1112020000000,"Leitende/r Angestellte/r in der öffentlichen Verwaltung, Beamter/Beamtin höherer Dienst"
1112030000000,Leiter/in öffentliche Verwaltung
1112040000000,Hohe/r Regierungsbeamter/Regierungsbeamtin
1112060000000,Diplomat/in
1114000300018,Gewerkschaftsführer/in
1114010000000,Hohe/r Funktionär/in einer Arbeitgeberorganisation
1114020000000,Hohe/r Funktionär/in einer humanitären Organisation Hilfsorganisation
1114030000000,Hohe/r Parteifunktionär/in
1114040000000,Hohe/r Funktionär/in einer Interessengemeinschaft
1114050000000,Hohe/r Gewerkschaftsfunktionär/in
1120000100018,Vorstandsmitglied
1120000200018,Vorstandssprecher/in
1120000300018,Geschäftsführer/in
1120000400018,Hochschulrektor/in
1120010000000,"Firmendirektor/in, Vorstandsvorsitzende/r für mehr als 500 Angestellte"
1120020000000,Geschäftsführer/in für 10-50 Angestellte
1120030000000,"Firmendirektor/in, Hauptgeschäftsführer/in für 50 - 500 Angestellte"
1120040000000,Produktions- oder Betriebsleiter/in
1120060000000,Ingenieur-Betriebsleiter
1120070000000,Abteilungsleiter/in Reparatur
1120080000018,Unternehmer/in
1120100000018,Generaldirektor
1120110000018,Leiter/in der Gesellschaft
1211000200018,Finanzvorstand
1211010000000,Finanzmanager/in
1211020000000,Abteilungsleiter/in Finanzwesen
1212000100018,Manager/in für Mitarbeiterbeziehungen
1212000400018,Personalbewirtschafter/in
1212010000000,Personalleiter/in
1212020000000,Leiter/in der Personalabteilung
1213000200018,Manager/in für Unternehmensplanung
1213000300018,Leiter/in der Fischereipolitik
1213000400018,Manager/in Geschäftsplanung
1213000500018,Manager/in Sozialverwaltung
1213000700018,Politikkoordinator (Regierung)
1213000900018,Manager/in für soziale Planung
1213001000018,Strategischer Planungsmanager/in
1213020000000,Planungsleiter/in
1219000200018,Manager/in Reinigungsdienste
1219000300018,Manager/in Unternehmensdienstleistungen
1219040000000,Abteilungsleiter/in Haushaltsorganisation
1219050000000,Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau (FH)Verwaltungen
1219060000000,Leiter/in Verwaltung
1219980000000,Abteilungsleiter/in (Sonstige)
1219990000000,Leiter/in für sonstige Unternehmensdienstleistungen oder Verwaltungsaufgaben
1221000200018,Kaufmännischer Leiter/in
1221000300018,Exportdirektor/in
1221000500018,Marketingleiter/in
1221001000018,Verkaufsleiter/in
1221020000000,Dipl.-Betriebswirt/in (FH) - Marketing
1221020100000,Telesales Executive
1221020200000,Außendienstmitarbeiter/in
1221020300000,Gebietsverkaufsleiter/in
1221020400000,Regionaler Verkaufsleiter/in
1221030000000,Leiter/in Marketingabteilung
1221040000000,Leiter/in Vertriebsabteilung
1222000100018,Werbeleiter/in
1222010000000,Leiter/in Werbung
1222020000000,Leiter/in der Werbeabteilung
1222030000000,Leiter/in Kommunikation
1222040000000,Abteilungsleiter/in Öffentlichkeitsarbeit
1223000100018,Manager/in klinische Studien
1223000200018,Leiter produktentwicklung/in
1223010000000,Forschungs- und Entwicklungsleiter/in
1223030100000,Leiter/in Unternehmensentwicklung
1311000100018,Manager/in landwirtschaftliche Produktion
1311000200018,Manager/in Plantage
1311000300018,Manager/in Ranch
1311020000000,Agrarlandwirt/in
1311040000000,Forstbetriebsleiter/in
1311060000000,Leiter/in eines Viehzuchtbetriebs
1311070000000,Betriebsleiter/in - Agrarbetrieb
1311080000000,Leiter/in von Baumplantagen
1311090000000,Leiter/in eines Tierzuchtbetriebs
1311100000000,Tierheimleiter/in
1312000100018,Trawler-Manager/in
1312020000000,Fischereimanager/in
1321000100018,Manager/in Chemieproduktion
1321000200018,Manager/in Kraftwerk
1321000300018,Manager/in Wasseraufbereitungsanlage
1321004100018,Produktionsleiter/in der Ölraffinerie
1321004200018,Produktionsleiter/in der Erdölraffinerie
1321004300018,Produktionsleiter für Abfallmanagement
1321010000000,Produktionsleiter/in
1321020000000,Leiter/in Fertigungsfabrik
1322000100018,Manager/in Bergwerk
1322000200018,Manager/in Steinbruchproduktion
1322000300018,Produktionscontroller für Bergbau
1322010000000,Leiter/in Bergbau
1322020000000,Leiter/in Öl- oder Gasfirma
1324000100018,Flughafenbetriebsleiter/in
1324000200018,Busbahnhof-Manager/in
1324000300018,Distribution Manager/in
1324000400018,Import- und Exportmanager/in
1324000500018,Kurier Service Manager/in
1324000600018,Manager/in Flugbetrieb
1324000700018,Manager/in Mailvorgänge
1324000800018,Manager/in Metropolitan Bahnhof
1324000900018,Manager/in für Postdienste
1324001000018,Manager/in Bahnbetrieb
1324001100018,Manager/in Bahnhof
1324001200018,Manager/in Speicher/in
1324001300018,Manager/in Transportunternehmen
1324002100018,Einkaufsleiter/in
1324002200018,Lagerleiter/in
1324010000000,Flughafenleiter/in
1324020000000,Leiter/in eines Auslieferungslagers oder Distributionscenters
1324030000000,Logistikleiter/in
1324040000000,Hafendirektor/in
1324050000000,Leiter/in des öffentlichen Personennahverkehrs
1324060000000,"Leiter/in Straßen-, Bahn oder Luftverkehr"
1324070000000,Leiter/in Müllentsorgung oder Recycling
1324080000000,Leiter/in Energieanlagen
1324090000000,Einkaufsmanager/in
1330000100018,Manager/in Computersystemvorgänge
1330000200018,Internet Service Provider Manager/in
1330000300018,Manager/in IT-Systementwicklung
1330000400018,Manager/in Telekommunikationsdienste
1330010000000,IT-Manager/in
1330020000000,IT-Leiter/in
1341000100018,Manager/in außerhalb der Schulstunden Pflege
1341010000000,Kindertagesstättenleiter/in
1342000100018,Manager/in Community Gesundheitsdienst
1342000200018,Manager/in Gesundheitsdienst
1342001200018,Pflegeleiter/in
1342001300018,Chefarzt für öffentliche Gesundheit
1342020000000,Krankenhausleiter/in
1342030000000,Leiter/in einer Behinderteneinrichtung
1342040000000,Leiter/in einer psychiatrischen Einrichtung
1342990000000,"Leiter/in, alle anderen Gesundheitseinrichtungen"
1343000100018,Pflegeanstaltsleiter/in
1343000200018,Manager/in Ruhestand Dorf
